Ranks,Majors,School Types,Early Pay,Mid Career Pay,High Meaning
146,Business,Bachelors,65000,107400,43%
147,Financial,Bachelors,63300,107200,41%
147,Sales,Bachelors,55900,107200,51%
149,Plastics,Bachelors,68400,107100,58%
150,Information,Bachelors,63400,107000,48%
151,Polymer,Bachelors,74500,106900,-
152,Informatics,Bachelors,70300,106800,42%
153,Computer,Bachelors,55700,106600,47%
153,Information,Bachelors,63900,106600,44%
155,Agricultural,Bachelors,55600,106300,58%
156,Data,Bachelors,65600,106200,45%
157,European,Bachelors,47500,106100,46%
158,Biosystems,Bachelors,64700,106000,74%
158,Nuclear,Bachelors,83500,106000,62%
160,Economics,Bachelors,57100,105700,47%
160,Global,Bachelors,50000,105700,46%
162,Organic,Bachelors,44500,105600,-
163,Industrial,Bachelors,58600,105500,55%
163,Safety,Bachelors,62400,105500,-
165,Commerce,Bachelors,66800,105400,40%
165,Rhetoric,Bachelors,51600,105400,44%
167,Business,Bachelors,64000,105300,40%
168,Finance,Bachelors,60200,105200,42%
169,Plastics,Bachelors,66900,105100,28%
170,Molecular,Bachelors,54100,105000,67%
171,Environmental,Bachelors,62600,104800,62%
171,International,Bachelors,54100,104800,51%
173,Computer,Bachelors,59400,104700,42%
174,Corporate,Bachelors,63600,104300,43%
175,Genetics,Bachelors,52200,104100,72%
175,International,Bachelors,55300,104100,39%
177,Agricultural,Bachelors,63100,104000,63%
178,Consumer,Bachelors,53700,103800,40%
179,Finance,Bachelors,56800,103700,46%
180,Computer,Bachelors,60500,103500,47%
181,Business,Bachelors,57200,103300,42%
182,Psychobiology,Bachelors,49600,103100,65%
182,Strategic,Bachelors,66200,103100,47%
182,Construction,Bachelors,61900,103100,48%
185,Operations,Bachelors,61500,103000,45%
186,Entrepreneurship,Bachelors,57100,102900,43%
187,Electrical,Bachelors,66300,102800,47%
188,Computer,Bachelors,66000,102700,50%
188,Food,Bachelors,56300,102700,24%
190,International,Bachelors,59000,102600,22%
190,Network,Bachelors,60700,102600,55%
192,Building,Bachelors,61300,102400,63%
193,Engineering,Bachelors,58400,102300,47%
194,International,Bachelors,52800,102200,49%
194,Management,Bachelors,56800,102200,59%
194,Information,Bachelors,66400,102200,48%
197,Business,Bachelors,63500,102100,-
198,Industrial,Bachelors,57800,102000,53%
199,Architectural,Bachelors,65000,101900,58%
199,Hotel,Bachelors,64900,101900,35%
201,Manufacturing,Bachelors,57600,101500,48%
202,Agricultural,Bachelors,54900,101400,56%
203,Web,Bachelors,56400,101300,46%
204,Aviation,Bachelors,54000,101200,48%
204,Telecommunications,Bachelors,55000,101200,42%
206,Property,Bachelors,55200,101000,47%
207,Comparative,Bachelors,48100,100900,46%
208,Construction,Bachelors,64700,100800,71%
209,Biotechnology,Bachelors,53100,100700,59%
210,Industrial,Bachelors,69800,100600,44%
210,Real,Bachelors,59900,100600,36%
212,Mechanical,Bachelors,64200,100400,48%
213,Labor,Bachelors,53000,100300,41%
214,Electronics,Bachelors,57500,100200,63%
215,Biochemistry,Bachelors,50400,99900,62%
215,Politics,Bachelors,53000,99900,51%
217,Accounting,Bachelors,57800,99800,45%
218,Chinese,Bachelors,54200,99600,43%
219,Information,Bachelors,66300,99500,36%
220,East,Bachelors,49800,99400,42%
221,Accounting,Bachelors,59200,99300,45%
221,Network,Bachelors,62300,99300,50%
223,Information,Bachelors,59100,99200,46%
224,Aviation,Bachelors,50900,99100,58%
224,Occupational,Bachelors,59900,99100,69%
226,Agribusiness,Bachelors,50700,98900,53%
226,Business,Bachelors,51000,98900,45%
226,Computer,Bachelors,63000,98900,47%
229,Computer,Bachelors,68100,98700,43%
230,Operations,Bachelors,61300,98600,45%
231,Entomology,Bachelors,45900,98500,-
232,Music,Bachelors,43100,98400,43%
232,Industrial,Bachelors,67200,98400,53%
234,Logistics,Bachelors,59000,98300,47%
234,Supply,Bachelors,61700,98300,41%
234,Accounts,Bachelors,59800,98300,44%
237,Economics,Bachelors,54400,98200,-
237,Environmental,Bachelors,51000,98200,65%
237,Physical,Bachelors,55500,98200,88%
240,European,Bachelors,52300,98000,47%
240,Robotics,Bachelors,66100,98000,63%
242,Geological,Bachelors,61700,97900,54%
242,Manufacturing,Bachelors,59900,97900,46%
244,Chemistry,Bachelors,51600,97500,55%
245,Business,Bachelors,56400,97400,44%
246,Food,Bachelors,53100,97300,49%
247,City,Bachelors,51800,97200,70%
247,Civil,Bachelors,58300,97200,60%
249,Electronics,Bachelors,64300,97100,50%
249,English,Bachelors,42600,97100,-
249,Finance,Bachelors,55300,97100,47%
249,Mechanical,Bachelors,60900,97100,45%
253,Applied,Bachelors,55500,97000,62%
254,Marketing,Bachelors,50000,96900,45%
255,Technical,Bachelors,50700,96800,37%
256,Financial,Bachelors,54000,96600,63%
256,Organizational,Bachelors,57000,96600,51%
256,Marketing,Bachelors,51700,96600,40%
259,Dairy,Bachelors,51200,96200,68%
259,Project,Bachelors,56800,96200,58%
261,Government,Bachelors,51300,96100,49%
261,Latin,Bachelors,46700,96100,62%
263,Industrial,Bachelors,55100,95900,41%
263,Web,Bachelors,53100,95900,44%
265,Computing,Bachelors,58100,95800,40%
265,Electromechanical,Bachelors,70500,95800,55%
265,Industrial,Bachelors,62200,95800,50%
265,Information,Bachelors,61100,95800,47%
269,Biopsychology,Bachelors,53300,95700,74%
269,Government,Bachelors,52400,95700,51%
271,Microbiology,Bachelors,54900,95400,68%
271,Chemistry,Bachelors,48200,95400,-
273,Interactive,Bachelors,54000,95300,38%
273,Risk,Bachelors,58500,95300,42%
275,Cell,Bachelors,50100,95200,59%
276,Aeronautics,Bachelors,62800,95100,64%
277,Welding,Bachelors,74700,95000,42%
278,Finance,Bachelors,63900,94800,-
279,Computer,Bachelors,81100,94600,28%
280,Environmental,Bachelors,49500,94500,59%
280,Marketing,Bachelors,49600,94500,45%
280,Safety,Bachelors,60100,94500,70%
283,Business,Bachelors,57400,94400,42%
283,Computer,Bachelors,55600,94400,49%
285,Biomedical,Bachelors,43600,94300,70%
285,Philosophy,Bachelors,52600,94300,41%
285,Sales,Bachelors,52700,94300,48%
285,Manufacturing,Bachelors,66000,94300,49%
289,Environmental,Bachelors,57600,94200,68%
290,Organizational,Bachelors,51200,94100,50%
291,Industrial,Bachelors,50000,94000,50%
291,Political,Bachelors,50700,94000,47%
291,Real,Bachelors,57100,94000,-
294,Social,Bachelors,49000,93700,-
295,Risk,Bachelors,59500,93600,46%
296,Radiation,Bachelors,68400,93400,90%
297,French,Bachelors,46400,93300,50%
297,Occupational,Bachelors,54100,93300,88%
299,Advertising,Bachelors,47200,93200,32%
300,Accounting,Bachelors,54800,93100,42%
301,Geology,Bachelors,50400,93000,54%
301,Strategic,Bachelors,47100,93000,42%
301,Transportation,Bachelors,57600,93000,48%
304,Financial,Bachelors,56100,92900,51%
305,Cell,Bachelors,51900,92800,68%
305,Industrial,Bachelors,55200,92800,78%
305,Insurance,Bachelors,56000,92800,43%
305,Manufacturing,Bachelors,64000,92800,49%
305,Networks,Bachelors,54300,92800,56%
310,Labor,Bachelors,46600,92600,49%
310,Digital,Bachelors,46700,92600,31%
310,Advertising,Bachelors,48300,92600,36%
313,Cinema,Bachelors,47900,92500,33%
313,Electronic,Bachelors,63800,92500,58%
313,Marketing,Bachelors,45700,92500,39%
316,Construction,Bachelors,59100,92400,-
317,Architecture,Bachelors,51000,92300,53%
318,Applied,Bachelors,65900,92200,47%
319,Biological,Bachelors,49300,92100,66%
319,Food,Bachelors,52500,92100,51%
319,Urban,Bachelors,51800,92100,60%
322,Marketing,Bachelors,51300,92000,42%
323,Computer,Bachelors,56800,91900,47%
324,Applied,Bachelors,66100,91800,44%
325,Sales,Bachelors,61500,91600,44%
326,Environmental,Bachelors,47700,91400,55%
326,Hotel,Bachelors,49100,91400,44%
328,Advertising,Bachelors,52700,91300,28%
328,Digital,Bachelors,45600,91300,35%
328,Financial,Bachelors,54300,91300,54%
331,Electronic,Bachelors,81000,91200,-
332,Italian,Bachelors,51400,91100,43%
333,German,Bachelors,50000,91000,42%
334,Quality,Bachelors,57400,90800,60%
335,Microbiology,Bachelors,48400,90300,68%
335,Entrepreneurship,Bachelors,54800,90300,47%
337,Interactive,Bachelors,52700,90200,35%
337,Global,Bachelors,55900,90200,52%
337,Network,Bachelors,57900,90200,50%
337,Police,Bachelors,55400,90200,-
341,Hydrology,Bachelors,48700,90100,-
342,Business,Bachelors,64700,90000,36%
342,Database,Bachelors,65900,90000,-
342,Spanish,Bachelors,51100,90000,50%
345,Business,Bachelors,52800,89900,42%
346,Business,Bachelors,48900,89800,48%
347,Technical,Bachelors,64400,89700,62%
348,Human,Bachelors,51100,89600,70%
349,Meteorology,Bachelors,46200,89500,57%
350,Computer,Bachelors,49000,89200,40%
350,Urban,Bachelors,50500,89200,53%
352,Aviation,Bachelors,58100,89100,49%
352,Environmental,Bachelors,50000,89100,65%
354,Agricultural,Bachelors,48900,88900,59%
354,Agronomy,Bachelors,50200,88900,65%
354,International,Bachelors,50000,88900,51%
357,Design,Bachelors,52800,88800,40%
358,Applied,Bachelors,46400,88700,-
358,Architectural,Bachelors,52200,88700,59%
358,German,Bachelors,50700,88700,41%
361,Technology,Bachelors,56200,88600,64%
362,Advertising,Bachelors,46100,88500,46%
363,Pre,Bachelors,46800,88400,45%
364,Digital,Bachelors,47300,88200,38%
365,Biological,Bachelors,46200,88100,49%
365,Personal,Bachelors,53800,88100,60%
367,Professional,Bachelors,63700,88000,-
367,Textile,Bachelors,54000,88000,42%
367,Web,Bachelors,52300,88000,33%
370,Entrepreneurial,Bachelors,48700,87900,37%
371,Fashion,Bachelors,47500,87700,27%
372,Retailing,Bachelors,51300,87600,35%
373,Business,Bachelors,50900,87300,47%
373,Environmental,Bachelors,49100,87300,59%
375,Product,Bachelors,65500,87200,35%
376,English,Bachelors,47700,87000,45%
376,Logistics,Bachelors,57600,87000,41%
378,Math,Bachelors,55600,86900,66%
379,International,Bachelors,54800,86800,27%
379,Pre,Bachelors,50800,86800,67%
379,Speech,Bachelors,37500,86800,-
379,Toxicology,Bachelors,44600,86800,-
383,Advertising,Bachelors,49000,86700,38%
383,Geographic,Bachelors,54000,86700,57%
383,Marketing,Bachelors,45400,86700,41%
383,Welding,Bachelors,48400,86700,-
387,General,Bachelors,50200,86600,51%
388,Construction,Bachelors,55800,86400,53%
388,Architectural,Bachelors,45400,86400,42%
390,Aviation,Bachelors,51000,86300,60%
391,Communication,Bachelors,44800,86200,47%
391,Management,Bachelors,51600,86200,48%
393,General,Bachelors,49100,86100,60%
393,Magazine,Bachelors,46800,86100,32%
395,Electronics,Bachelors,55600,86000,-
395,Theatre,Bachelors,44800,86000,49%
397,Animation,Bachelors,45000,85900,35%
397,Biology,Bachelors,49200,85900,66%
397,Diagnostic,Bachelors,67700,85900,67%
397,History,Bachelors,49500,85900,51%
397,Public,Bachelors,52700,85900,50%
397,Romance,Bachelors,53000,85900,53%
397,Physiology,Bachelors,49300,85900,63%
404,Corporate,Bachelors,48500,85700,42%
404,International,Bachelors,51600,85700,52%
404,Nursing,Bachelors,66800,85700,84%
404,Organizational,Bachelors,53800,85700,54%
404,Textile,Bachelors,47100,85700,30%
409,Business,Bachelors,52800,85600,50%
409,Business,Bachelors,52400,85600,55%
