Ranks,Majors,School Types,Early Pay,Mid Career Pay,High Meaning
648,Educational,Bachelors,40300,70200,65%
648,Music,Bachelors,44300,70200,55%
648,Business,Bachelors,50100,70200,45%
651,Drafting,Bachelors,51000,70100,69%
651,Plant,Bachelors,48000,70100,60%
653,Criminal,Bachelors,42800,69800,56%
653,Web,Bachelors,49900,69800,25%
655,Graphic,Bachelors,45100,69700,37%
656,Nutrition,Bachelors,48100,69600,65%
656,Nutrition,Bachelors,50800,69600,72%
658,Missions,Bachelors,41300,69500,-
659,Dramatic,Bachelors,41400,69400,-
660,Fashion,Bachelors,47700,69100,30%
661,Interdisciplinary,Bachelors,44600,68900,56%
662,Hospitality,Bachelors,44200,68800,41%
662,Human,Bachelors,42100,68800,54%
662,Ornamental,Bachelors,46000,68800,69%
662,Physical,Bachelors,49900,68800,85%
662,Public,Bachelors,46000,68800,69%
667,Art,Bachelors,41100,68600,80%
667,Dietetics,Bachelors,51300,68600,74%
667,Landscape,Bachelors,52300,68600,-
670,Applied,Bachelors,42200,68500,57%
670,Fine,Bachelors,43200,68500,44%
670,Modern,Bachelors,43800,68500,52%
670,Women,Bachelors,45200,68500,59%
670,Social,Bachelors,44800,68500,59%
675,Animal,Bachelors,41200,68300,64%
675,New,Bachelors,46000,68300,33%
675,Textiles,Bachelors,45100,68300,47%
678,Event,Bachelors,41700,68200,40%
679,Family,Bachelors,42600,68000,59%
680,Speech,Bachelors,44100,67900,70%
681,Technical,Bachelors,41000,67600,42%
682,Education,Bachelors,44100,67500,65%
682,Foods,Bachelors,47000,67500,68%
682,Recreation,Bachelors,42300,67500,58%
685,Business,Bachelors,46900,67300,69%
686,Agricultural,Bachelors,53500,67100,-
687,Music,Bachelors,44000,66900,51%
688,Art,Bachelors,43400,66700,46%
688,Psychology,Bachelors,42800,66700,53%
690,Drawing,Bachelors,42800,66600,48%
691,Nonprofit,Bachelors,42300,66300,79%
692,Small,Bachelors,47100,66200,38%
693,Behavioral,Bachelors,43000,66000,62%
694,Horticulture,Bachelors,52500,65900,-
695,Health,Bachelors,42700,65800,63%
695,Multidisciplinary,Bachelors,41800,65800,53%
695,Restaurant,Bachelors,43900,65800,45%
698,Consumer,Bachelors,51000,65700,43%
699,Training,Bachelors,52600,65600,-
699,Health,Bachelors,41700,65600,67%
699,Electronic,Bachelors,45300,65600,37%
702,Environmental,Bachelors,48700,65500,65%
703,Theatre,Bachelors,43500,65300,51%
704,Applied,Bachelors,46800,65200,44%
705,African,Bachelors,46400,65100,60%
705,Exercise,Bachelors,42600,65100,70%
705,General,Bachelors,43600,65100,52%
705,Justice,Bachelors,45300,65100,50%
705,Video,Bachelors,42800,65100,33%
710,Graphic,Bachelors,42700,64900,41%
710,Physical,Bachelors,42200,64900,69%
712,Health,Bachelors,41600,64800,83%
712,Physical,Bachelors,44100,64800,72%
712,Drawing,Bachelors,37400,64800,39%
715,Exercise,Bachelors,41400,64700,73%
716,Printmaking,Bachelors,38400,64300,40%
716,Sports,Bachelors,43300,64300,47%
716,Theology,Bachelors,42800,64300,68%
719,Interior,Bachelors,43700,64200,37%
719,Recreation,Bachelors,40300,64200,60%
721,Human,Bachelors,43700,64100,64%
721,Music,Bachelors,45800,64100,38%
721,Wildlife,Bachelors,39700,64100,49%
721,Supervision,Bachelors,41700,64100,57%
725,Health,Bachelors,40100,64000,70%
725,Culinary,Bachelors,41300,64000,50%
725,Mortuary,Bachelors,43500,64000,85%
728,Clinical,Bachelors,43000,63900,65%
728,Community,Bachelors,42600,63900,75%
728,Dance,Bachelors,45100,63900,62%
731,Speech,Bachelors,42800,63700,69%
732,Gender,Bachelors,45500,63600,55%
732,Secondary,Bachelors,42000,63600,64%
734,Photography,Bachelors,43800,63500,38%
735,English,Bachelors,43300,63100,57%
735,Paralegal,Bachelors,39600,63100,50%
735,Social,Bachelors,43400,63100,65%
738,Teaching,Bachelors,42800,63000,73%
738,Music,Bachelors,42000,63000,62%
740,Health,Bachelors,42300,62800,69%
740,Recording,Bachelors,44800,62800,48%
742,Photojournalism,Bachelors,41900,62600,59%
743,Recreation,Bachelors,47000,62500,71%
744,Radio,Bachelors,46300,62400,33%
745,Sculpture,Bachelors,40300,62200,47%
746,Painting,Bachelors,40700,62000,44%
746,Psychology,Bachelors,42600,62000,68%
748,Health,Bachelors,38700,61900,65%
749,Organizational,Bachelors,45000,61800,-
750,Tourism,Bachelors,43100,61600,38%
750,Instrumental,Bachelors,41700,61600,65%
752,Emergency,Bachelors,44200,61400,-
753,Community,Bachelors,45400,61300,72%
754,Health,Bachelors,38100,61100,68%
755,Music,Bachelors,43100,60700,93%
756,Social,Bachelors,39900,60500,82%
757,Rehabilitation,Bachelors,35800,60200,79%
758,Horticulture,Bachelors,43000,60100,59%
759,University,Bachelors,42400,60000,49%
760,Church,Bachelors,40000,59900,79%
761,Communicative,Bachelors,47400,59800,73%
761,Social,Bachelors,45400,59800,-
761,Wildlife,Bachelors,42900,59800,60%
764,Community,Bachelors,44600,59400,63%
764,Psychology,Bachelors,35600,59400,-
766,Athletic,Bachelors,42100,59300,75%
767,Biblical,Bachelors,40500,59000,72%
768,Biblical,Bachelors,36400,58900,76%
768,Counseling,Bachelors,42700,58900,64%
768,Recreational,Bachelors,42100,58900,69%
768,Teaching,Bachelors,42000,58900,72%
772,Home,Bachelors,41800,58700,69%
772,Library,Bachelors,48200,58700,48%
774,Human,Bachelors,40300,58600,66%
774,Tourism,Bachelors,42200,58600,43%
776,Landscape,Bachelors,49000,58500,63%
777,Ceramics,Bachelors,42200,58300,51%
777,Clinical,Bachelors,43500,58300,-
777,Parks,Bachelors,42700,58300,56%
780,Pastoral,Bachelors,38700,58000,83%
780,Vocal,Bachelors,42600,58000,65%
782,Art,Bachelors,40300,57500,62%
782,Bible,Bachelors,40000,57500,67%
784,Forensic,Bachelors,48300,57200,48%
785,Communication,Bachelors,43300,57100,76%
785,Legal,Bachelors,38100,57100,38%
787,Special,Bachelors,41300,57000,76%
788,Conservation,Bachelors,42800,56900,57%
789,Family,Bachelors,39200,56800,68%
790,Christian,Bachelors,38100,56400,79%
790,Speech,Bachelors,43300,56400,76%
792,Health,Bachelors,43500,56300,65%
793,Musical,Bachelors,43500,56100,50%
794,History,Bachelors,47700,55600,46%
795,Developmental,Bachelors,38200,55000,-
796,Therapeutic,Bachelors,39500,54900,82%
797,Applied,Bachelors,40500,54600,50%
797,Community,Bachelors,42400,54600,80%
797,Social,Bachelors,38600,54600,76%
800,Office,Bachelors,38700,54500,65%
801,Ministry,Bachelors,36700,54300,81%
801,Family,Bachelors,42200,54300,74%
803,Youth,Bachelors,37400,54200,76%
804,Elementary,Bachelors,40000,53800,69%
805,Voice,Bachelors,34500,53300,57%
806,Christian,Bachelors,38700,53200,82%
806,Conflict,Bachelors,44400,53200,50%
808,Baking,Bachelors,37500,53000,44%
808,Human,Bachelors,45600,53000,-
810,Hospitality,Bachelors,38800,52900,-
811,Human,Bachelors,38700,52500,71%
812,Counseling,Bachelors,39900,51700,78%
813,Recreational,Bachelors,38400,51600,84%
814,Child,Bachelors,37400,51400,73%
815,Educational,Bachelors,36900,51200,-
816,Middle,Bachelors,41200,50800,73%
817,Mental,Bachelors,36100,50000,78%
818,Early,Bachelors,38000,48400,77%
819,Equine,Bachelors,35700,47100,50%
820,Addiction,Bachelors,38000,47000,84%
821,Child,Bachelors,36400,46500,73%
822,Rehabilitation,Bachelors,39200,46400,-
823,Outdoor,Bachelors,37400,46300,52%
824,Early,Bachelors,36100,45400,78%
825,Mental,Bachelors,36900,45000,-
826,Medical,Bachelors,36000,44800,-
827,Metalsmithing,Bachelors,40000,40300,33%
